Time,Feedback
"Instant { tv_sec: 1774672, tv_nsec: 481075119 }",-1.4280001
"Instant { tv_sec: 1774672, tv_nsec: 497140873 }",-1.3720001
"Instant { tv_sec: 1774672, tv_nsec: 513046070 }",-1.4870001
"Instant { tv_sec: 1774672, tv_nsec: 513185297 }",-1.0780001
"Instant { tv_sec: 1774672, tv_nsec: 529163512 }",-1.25
"Instant { tv_sec: 1774672, tv_nsec: 544999489 }",-1.21
"Instant { tv_sec: 1774672, tv_nsec: 545062286 }",-1.383
"Instant { tv_sec: 1774672, tv_nsec: 545091035 }",-1.4130001
"Instant { tv_sec: 1774672, tv_nsec: 561103509 }",-1.1810001
"Instant { tv_sec: 1774672, tv_nsec: 561160292 }",-1.4990001
"Instant { tv_sec: 1774672, tv_nsec: 577006458 }",-1.197
"Instant { tv_sec: 1774672, tv_nsec: 577061762 }",-1.4000001
"Instant { tv_sec: 1774672, tv_nsec: 593056194 }",-1.386
"Instant { tv_sec: 1774672, tv_nsec: 593124137 }",-1.4690001
